epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,59.2542,1.08971,0.84289,0.87317,0.88511,0.86182,0.91135,0.65382,0.94704,0.73516,0.87073,0.00050606,0.00050606,0.00050606
57,60.3755,1.0093,0.78879,0.89151,0.88511,0.86182,0.91135,0.65382,0.94704,0.73516,0.87073,0.000495062,0.000495062,0.000495062
58,61.3467,1.06285,0.82061,0.89047,0.88117,0.86398,0.90759,0.64265,0.99209,0.73781,0.87817,0.000484063,0.000484063,0.000484063
59,62.3386,1.03076,0.83128,0.89217,0.8931,0.86282,0.91445,0.65182,0.97155,0.72236,0.87465,0.000473064,0.000473064,0.000473064
60,63.3248,0.98742,0.7876,0.88393,0.891,0.87662,0.91951,0.68727,0.89789,0.69864,0.86376,0.000462065,0.000462065,0.000462065
61,64.3058,1.01397,0.81547,0.86948,0.891,0.87662,0.91951,0.68727,0.89789,0.69864,0.86376,0.000451066,0.000451066,0.000451066
62,65.3075,1.05344,0.7898,0.86657,0.88258,0.89914,0.92496,0.67752,0.94595,0.70692,0.86441,0.000440067,0.000440067,0.000440067
63,66.3166,1.00836,0.78928,0.89017,0.8863,0.90313,0.92417,0.66505,0.99407,0.70813,0.86683,0.000429068,0.000429068,0.000429068
64,67.3778,1.07752,0.83425,0.88547,0.89626,0.91106,0.92712,0.67693,0.95178,0.68593,0.86147,0.000418069,0.000418069,0.000418069
65,68.382,1.02486,0.81305,0.88353,0.89626,0.91106,0.92712,0.67693,0.95178,0.68593,0.86147,0.00040707,0.00040707,0.00040707
66,69.3917,1.0185,0.78716,0.87891,0.9026,0.91111,0.92643,0.69291,0.91117,0.66446,0.85698,0.000396071,0.000396071,0.000396071
67,70.465,0.99339,0.77402,0.89265,0.90916,0.9074,0.92677,0.68848,0.9089,0.65641,0.85678,0.000385073,0.000385073,0.000385073
68,71.4845,1.04253,0.78101,0.88209,0.9107,0.9111,0.92984,0.68673,0.90624,0.65327,0.85757,0.000374074,0.000374074,0.000374074
69,72.4838,1.01209,0.77558,0.87617,0.9107,0.9111,0.92984,0.68673,0.90624,0.65327,0.85757,0.000363075,0.000363075,0.000363075
70,73.5102,0.99027,0.76003,0.88069,0.90945,0.90658,0.92924,0.69402,0.89754,0.65068,0.85832,0.000352076,0.000352076,0.000352076
